state_school_id,school_name,school_year,fl_school_grade,grade_points,ela_achievement_pct,math_achievement_pct,growth_pct,graduation_pct,career_college_readiness_pct,public_zone_score,source_url,notes
350031,BEVERLY SHORES ELEMENTARY SCHOOL,2025,B,3,41,53,69.0,0.0,0.0,57.9,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350035,LAKE SUCCESS ELEMENTARY SCHOOL,2025,D,1,34,40,41.5,0.0,0.0,27.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350061,EUSTIS ELEMENTARY SCHOOL,2025,C,2,40,49,57.5,0.0,0.0,43.6,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350067,SAWGRASS BAY ELEMENTARY SCHOOL,2025,C,2,49,53,47.0,0.0,0.0,44.8,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350068,GRASSY LAKE ELEMENTARY SCHOOL,2025,B,3,64,75,56.5,0.0,0.0,63.4,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350069,SORRENTO ELEMENTARY,2025,B,3,62,69,62.5,0.0,0.0,63.0,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350071,EUSTIS HEIGHTS ELEMENTARY SCHOOL,2025,D,1,34,40,41.5,0.0,0.0,27.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350080,EAST RIDGE MIDDLE SCHOOL,2025,A,4,71,74,67.0,0.0,0.0,78.3,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350081,EUSTIS HIGH SCHOOL,2025,C,2,48,33,47.0,86.0,53.0,49.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350101,FRUITLAND PARK ELEMENTARY SCHOOL,2025,C,2,36,46,52.0,0.0,0.0,42.0,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350113,GRAY MIDDLE SCHOOL,2025,C,2,45,52,55.0,0.0,0.0,44.7,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350119,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,2025,A,4,67,75,65.5,0.0,0.0,77.5,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
350141,SEMINOLE SPRINGS ELEMENTARY SCHOOL,2025,C,2,52,57,59.0,0.0,0.0,47.0,https://www.fldoe.org/file/18534/SchoolGrades25.xlsx,"Scored with workbook model: grade 50%, ELA 20%, math 10%, growth(avg ELA+math gains) 10%, grad 5%, career 5%."
