NCESSCH,NAME,district,STREET,CITY,STATE,ZIP,LAT,LON,CNTY,NMCNTY,LOCALE
120081007965,CONTRACTED SERVICES,LAKE,28334 CHURCHILL SMITH LN,MOUNT DORA,FL,32757,28.763276,-81.666109,12069,Lake County,41
120105001087,BEVERLY SHORES ELEMENTARY SCHOOL,LAKE,1108 GRIFFIN RD,LEESBURG,FL,34748,28.829419,-81.882624,12069,Lake County,22
120105001088,CLERMONT ELEMENTARY SCHOOL,LAKE,680 E HIGHLAND AVE,CLERMONT,FL,34711,28.552236,-81.746346,12069,Lake County,21
120105001090,EUSTIS ELEMENTARY SCHOOL,LAKE,714 E CITRUS AVE,EUSTIS,FL,32726,28.851231,-81.677797,12069,Lake County,22
120105001091,EUSTIS HEIGHTS ELEMENTARY SCHOOL,LAKE,310 W TAYLOR AVE,EUSTIS,FL,32726,28.839152,-81.688586,12069,Lake County,22
120105001092,EUSTIS HIGH SCHOOL,LAKE,1300 E WASHINGTON AVE,EUSTIS,FL,32726,28.846901,-81.672234,12069,Lake County,22
120105001093,FRUITLAND PARK ELEMENTARY SCHOOL,LAKE,304 W FOUNTAIN ST,FRUITLAND PARK,FL,34731,28.859799,-81.909747,12069,Lake County,22
120105001095,GRAY MIDDLE SCHOOL,LAKE,205 E MAGNOLIA ST,GROVELAND,FL,34736,28.556791,-81.855205,12069,Lake County,21
120105001097,LEESBURG HIGH SCHOOL,LAKE,1401 YELLOW JACKET WAY,LEESBURG,FL,34748,28.807719,-81.8887,12069,Lake County,22
120105001099,MT. DORA HIGH SCHOOL,LAKE,700 N HIGHLAND ST,MOUNT DORA,FL,32757,28.802628,-81.63609,12069,Lake County,22
120105001102,TAVARES HIGH SCHOOL,LAKE,603 N NEW HAMPSHIRE AVE,TAVARES,FL,32778,28.806648,-81.728995,12069,Lake County,22
120105001103,TAVARES MIDDLE SCHOOL,LAKE,1335 LANE PARK CUTOFF OFC,TAVARES,FL,32778,28.770738,-81.741119,12069,Lake County,22
120105001105,UMATILLA HIGH SCHOOL,LAKE,320 N TROWELL AVE,UMATILLA,FL,32784,28.930833,-81.664696,12069,Lake County,22
120105001106,TREADWAY ELEMENTARY SCHOOL,LAKE,10619 TREADWAY SCHOOL RD,LEESBURG,FL,34788,28.84605,-81.780585,12069,Lake County,22
120105001107,OAK PARK MIDDLE SCHOOL,LAKE,2101 SOUTH ST,LEESBURG,FL,34748,28.80187,-81.896992,12069,Lake County,41
120105001108,MINNEOLA CONVERSION CHARTER SCHOOL,LAKE,320 E PEARL ST,MINNEOLA,FL,34715,28.580001,-81.74116,12069,Lake County,21
120105001109,CARVER MIDDLE SCHOOL,LAKE,1200 N. BEECHER ST,LEESBURG,FL,34748,28.826969,-81.895073,12069,Lake County,22
120105001114,MT. DORA MIDDLE SCHOOL,LAKE,1405 LINCOLN AVE,MOUNT DORA,FL,32757,28.808807,-81.631741,12069,Lake County,22
120105001115,RIMES EARLY LEARNING & LITERACY CENTER,LAKE,3101 SCHOOLVIEW ST,LEESBURG,FL,34748,28.825976,-81.918809,12069,Lake County,41
