PINST,PADDRS,PCITY,PSTABB,PZIP,PCNTY,LATITUDE22,LONGITUDE22,LEVEL,RELIG,PPHONE,district
ST JOSEPH CATHOLIC SCHOOL,535 AVE M NW,WINTER HAVEN,FL,33881,105,28.034897,-81.731820,1,1,8632933311,POLK
ALL SOULS CATHOLIC SCHOOL,810 S OAK AVE,SANFORD,FL,32771,117,28.804984,-81.269659,1,1,4073227090,SEMINOLE
ST MARY MAGDALEN CATHOLIC SCHOOL,869 MAITLAND AVE,ALTAMONTE SPRINGS,FL,32701,117,28.646017,-81.364948,1,1,4073397301,SEMINOLE
SANTA FE CATHOLIC HIGH SCHOOL,3110 US HIGHWAY 92 E,LAKELAND,FL,33801,105,28.049330,-81.899841,2,1,8636654188,POLK
TRINITY PREPARATORY SCHOOL,5700 TRINITY PREP LN,WINTER PARK,FL,32792,117,28.613990,-81.272651,3,2,3212822521,SEMINOLE
FAITH LUTHERAN SCHOOL,2727 S GROVE ST,EUSTIS,FL,32726,069,28.827860,-81.682331,1,2,3525895683,LAKE
PARKWAY CHRISTIAN ACADEMY,4210 LAKELAND HIGHLANDS RD,LAKELAND,FL,33813,105,27.989543,-81.922760,3,2,8636465031,POLK
ST LUKES LUTHERAN SCHOOL,2025 W STATE ROAD 426,OVIEDO,FL,32765,117,28.645877,-81.229494,1,2,4073653228,SEMINOLE
DBA MOUNT DORA CHRISTIAN ACADEMY,301 W 13TH AVE,MOUNT DORA,FL,32757,069,28.808040,-81.647271,3,2,3523832155,LAKE
LAKELAND CHRISTIAN SCHOOL,1111 FOREST PARK ST,LAKELAND,FL,33803,105,28.024280,-81.972021,3,2,8636882771,POLK
PACE BRANTLEY SCHOOL,3221 SAND LAKE RD,LONGWOOD,FL,32779,117,28.679800,-81.444661,3,3,4078698882,SEMINOLE
THE VANGUARD SCHOOL,22000 HWY 27,LAKE WALES,FL,33859,105,27.932170,-81.610281,3,3,8636766091,POLK
WINTER HAVEN CHRISTIAN SCHOOL,1700 BUCKEYE LOOP RD,WINTER HAVEN,FL,33881,105,28.040020,-81.692971,3,2,8632944135,POLK
LIBERTY CHRISTIAN SCHOOL,2626 S PALMETTO AVE,SANFORD,FL,32773,117,28.780940,-81.265961,3,2,4073231583,SEMINOLE
MONTVERDE ACADEMY,17235 7TH ST,MONTVERDE,FL,34756,069,28.597557,-81.675187,3,3,4074692561,LAKE
ALTAMONTE CHRISTIAN SCHOOL,601 PALM SPRINGS DR,ALTAMONTE SPRINGS,FL,32701,117,28.673180,-81.373271,3,2,4078310950,SEMINOLE
FOREST LAKE EDUCATION CENTER,1275 LEARNING LOOP,LONGWOOD,FL,32779,117,28.676430,-81.438481,1,2,4078627688,SEMINOLE
FIRST METHODIST SCHOOL INC.,455 S BROADWAY AVE,BARTOW,FL,33830,105,27.893070,-81.843681,1,2,8635330905,POLK
OASIS CHRISTIAN ACADEMY,151 KING RD,WINTER HAVEN,FL,33880,105,28.012720,-81.761141,3,2,8632930930,POLK
LAKE MONTESSORI SCHOOL,415 LEE ST,LEESBURG,FL,34748,069,28.815390,-81.880381,3,3,3527875333,LAKE
FOREST LAKE ACADEMY.,500 EDUCATION LOOP,APOPKA,FL,32703,117,28.669970,-81.436851,2,2,4077723711,SEMINOLE
BEYMER UNITED METHODIST PRESCHOOL & KINDERGARTEN,700 N LAKE HOWARD DR,WINTER HAVEN,FL,33881,105,28.028626,-81.735358,1,2,8632943188,POLK
HOLY TRINITY EPISCOPAL SCHOOL,2201 SPRING LAKE RD,FRUITLAND PARK,FL,34731,069,28.876540,-81.917111,3,2,3527878855,LAKE
SANLANDO CHRISTIAN SCHOOL,1894 W STATE ROAD 434,LONGWOOD,FL,32750,117,28.691547,-81.385722,1,2,4073391172,SEMINOLE
SOUTH LAKE MONTESSORI SCHOOL,983 W DESOTO ST,CLERMONT,FL,34711,069,28.554010,-81.771831,1,3,3522675193,LAKE
WINTER HAVEN ADVENTIST ACADEMY,401 AVE K SE,WINTER HAVEN,FL,33880,105,28.011500,-81.722491,1,2,8632997984,POLK
WORD OF LIFE CHRISTIAN SCHOOL,1555 W MAIN ST,BARTOW,FL,33830,105,27.896110,-81.859981,3,2,8635195747,POLK
LAKE MARY PREPARATORY SCHOOL,650 RANTOUL LN,LAKE MARY,FL,32746,117,28.777520,-81.323531,3,3,4077577301,SEMINOLE
